run_id,request_file,status,started_at,finished_at
RUN-20260409-120110,requests/REQ-0001.md,failed,2026-04-09T09:01:10.259178,2026-04-09T09:01:27.490618
RUN-20260409-130355,requests/REQ-0001.md,failed,2026-04-09T10:03:55.417190,2026-04-09T10:04:05.343102
RUN-20260409-131134,requests/REQ-0001.md,success,2026-04-09T10:11:34.289325,2026-04-09T10:11:57.676681
RUN-20260410-103838,requests/REQ-0003.md,success,2026-04-10T07:38:38.468426,2026-04-10T07:38:53.912707
RUN-20260411-020356,requests/REQ-0005.md,failed,2026-04-10T23:03:56.585109,2026-04-10T23:04:24.704444
RUN-20260411-021321,requests/REQ-0006.md,success,2026-04-10T23:13:21.890160,2026-04-10T23:16:26.739057
RUN-20260411-021655,requests/REQ-0007.md,success,2026-04-10T23:16:55.281069,2026-04-10T23:19:14.930449
RUN-20260411-022417,requests/REQ-0005.md,failed,2026-04-10T23:24:17.093390,2026-04-10T23:26:57.754608
RUN-20260411-102847,requests/REQ-0005.md,success,2026-04-11T07:28:47.116276+00:00,2026-04-11T07:30:11.524924+00:00
RUN-20260411-103207,requests/REQ-0005.md,success,2026-04-11T07:32:07.656098+00:00,2026-04-11T07:33:25.890663+00:00
RUN-20260411-195326,requests/REQ-0005.md,success,2026-04-11T16:53:26.076890+00:00,2026-04-11T16:57:06.422021+00:00
RUN-20260411-195834,requests/REQ-0005.md,success,2026-04-11T16:58:34.673053+00:00,2026-04-11T17:02:06.227577+00:00
RUN-20260411-231644,requests/REQ-0006.md,success,2026-04-11T20:16:44.686504+00:00,2026-04-11T20:18:48.597897+00:00
RUN-20260411-232743,requests/REQ-0007.md,success,2026-04-11T20:27:43.750292+00:00,2026-04-11T20:30:52.516778+00:00
RUN-20260411-233718,requests/REQ-0007.md,success,2026-04-11T20:37:18.060922+00:00,2026-04-11T20:40:27.880332+00:00
RUN-20260411-234147,requests/REQ-0008.md,success,2026-04-11T20:41:47.750081+00:00,2026-04-11T20:44:53.897125+00:00
RUN-20260411-234541,requests/REQ-0009.md,success,2026-04-11T20:45:41.323617+00:00,2026-04-11T20:48:31.889591+00:00
RUN-20260412-012157,requests/REQ-0009.md,success,2026-04-11T22:21:57.187334+00:00,2026-04-11T22:26:17.482597+00:00
RUN-20260412-012806,requests/REQ-0009.md,success,2026-04-11T22:28:06.518018+00:00,2026-04-11T22:31:42.004799+00:00
RUN-20260412-013207,requests/REQ-0010.md,success,2026-04-11T22:32:07.936590+00:00,2026-04-11T22:35:35.346589+00:00
RUN-20260413-105037,requests/REQ-0010.md,failed,2026-04-13T07:50:37.713871+00:00,2026-04-13T07:50:55.167913+00:00
RUN-20260413-105225,requests/REQ-0010.md,failed,2026-04-13T07:52:25.660474+00:00,2026-04-13T07:52:41.347912+00:00
RUN-20260413-105451,requests/REQ-0010.md,failed,2026-04-13T07:54:51.337757+00:00,2026-04-13T07:57:00.570333+00:00
RUN-20260413-105732,requests/REQ-0010.md,success,2026-04-13T07:57:32.368766+00:00,2026-04-13T07:59:31.380038+00:00
RUN-20260413-110217,requests/REQ-0010.md,success,2026-04-13T08:02:17.298276+00:00,2026-04-13T08:05:46.898027+00:00
RUN-20260413-111234,requests/REQ-0010.md,success,2026-04-13T08:12:34.699433+00:00,2026-04-13T08:14:33.612736+00:00
RUN-20260413-111524,requests/REQ-0010.md,success,2026-04-13T08:15:24.221966+00:00,2026-04-13T08:18:37.780722+00:00
RUN-20260413-112455,requests/REQ-0010.md,success,2026-04-13T08:24:55.613747+00:00,2026-04-13T08:28:20.311941+00:00
RUN-20260413-135942,requests/REQ-0011-player-profile-models.md,success,2026-04-13T10:59:42.906183+00:00,2026-04-13T11:03:48.544849+00:00
RUN-20260413-141610,requests/REQ-0011-player-profile-models.md,fail,2026-04-13T11:16:10.418214+00:00,2026-04-13T11:18:51.048631+00:00
RUN-20260413-142701,requests/REQ-0011-player-profile-models.md,success,2026-04-13T11:27:01.371352+00:00,2026-04-13T11:29:36.596108+00:00
RUN-20260413-144608,requests/REQ-0011-player-profile-models.md,pass,2026-04-13T11:46:08.144940+00:00,2026-04-13T11:48:28.745256+00:00
RUN-20260413-145249,requests/REQ-0011-player-profile-models.md,success,2026-04-13T11:52:49.381138+00:00,2026-04-13T11:54:18.317963+00:00
RUN-20260413-151244,requests/REQ-0011-player-profile-models.md,failed,2026-04-13T12:12:44.484536+00:00,2026-04-13T12:13:38.993335+00:00
RUN-20260413-152254,requests/REQ-0011-player-profile-models.md,fail,2026-04-13T12:22:54.191867+00:00,2026-04-13T12:25:56.324488+00:00
RUN-20260413-153633,requests/REQ-0011-player-profile-models.md,fail,2026-04-13T12:36:33.265133+00:00,2026-04-13T12:39:47.208406+00:00
RUN-20260413-160155,requests/REQ-0011-player-profile-models.md,fail,2026-04-13T13:01:55.955897+00:00,2026-04-13T13:09:37.962079+00:00
RUN-20260413-161344,requests/REQ-0011-player-profile-models.md,fail,2026-04-13T13:13:44.122254+00:00,2026-04-13T13:19:22.911904+00:00
RUN-20260413-165549,requests/REQ-0011-player-profile-models.md,fail,2026-04-13T13:55:49.962277+00:00,2026-04-13T13:58:03.472123+00:00
RUN-20260413-170716,requests/REQ-0011-player-profile-models.md,failed,2026-04-13T14:07:16.406038+00:00,2026-04-13T14:12:40.847633+00:00
RUN-20260413-173411,requests/REQ-0011-player-profile-models.md,fail,2026-04-13T14:34:11.212928+00:00,2026-04-13T14:40:44.324646+00:00
RUN-20260413-174803,requests/REQ-0011-player-profile-models.md,fail,2026-04-13T14:48:03.194187+00:00,2026-04-13T14:52:18.244639+00:00
RUN-20260413-235133,requests/REQ-0011-player-profile-models.md,fail,2026-04-13T20:51:33.181097+00:00,2026-04-13T20:56:35.362628+00:00
RUN-20260414-003130,requests/REQ-0011-player-profile-models.md,fail,2026-04-13T21:31:30.816712+00:00,2026-04-13T21:44:46.657845+00:00
RUN-20260414-155443,requests/REQ-0011-player-profile-models.md,fail,2026-04-14T12:54:43.832600+00:00,2026-04-14T12:57:29.572026+00:00
RUN-20260414-170538,requests/REQ-0011-player-profile-models.md,fail,2026-04-14T14:05:38.448028+00:00,2026-04-14T14:07:40.122674+00:00
RUN-20260414-175651,requests/REQ-0011-player-profile-models.md,fail,2026-04-14T14:56:51.465685+00:00,2026-04-14T14:57:03.248907+00:00
RUN-20260414-180128,requests/REQ-0011-player-profile-models.md,fail,2026-04-14T15:01:28.985416+00:00,2026-04-14T15:01:41.792573+00:00
RUN-20260414-182232,requests/REQ-0011-player-profile-models.md,pass,2026-04-14T15:22:32.921130+00:00,2026-04-14T15:26:14.653825+00:00
